RefactoringType,L1,L2,L3,L4,L5,L6,AuthorGroup
Extract Method,pmd,regress,test,net,sourceforge,pmd/testframework/RuleTst.java,extremely high
Rename Attribute,pmd,src,net,sourceforge,pmd,ant/PMDTask.java,extremely high
Rename Method,pmd,src,net,sourceforge,pmd,ant/PMDTask.java,extremely high
Rename Method,pmd,regress,test,net,sourceforge,pmd/ant/PMDTaskTest.java,extremely high
Rename Method,pmd,regress,test,net,sourceforge,pmd/ant/PMDTaskTest.java,extremely high
Extract And Move Method,pmd,src,net,sourceforge,pmd,util/designer/Designer.java,extremely high
Extract Variable,pmd,src,net,sourceforge,pmd,util/designer/Designer.java,extremely high
Rename Method,pmd,src,net,sourceforge,pmd,util/designer/Designer.java,extremely high
Rename Method,pmd,regress,test,net,sourceforge,pmd/rules/UnusedImportsRuleTest.java,extremely high
Inline Variable,pmd,src,net,sourceforge,pmd,rules/optimization/AvoidInstantiatingObjectsInLoops.java,extremely high
Inline Variable,pmd,src,net,sourceforge,pmd,rules/optimization/AvoidInstantiatingObjectsInLoops.java,extremely high
Inline Variable,pmd,src,net,sourceforge,pmd,rules/optimization/AvoidInstantiatingObjectsInLoops.java,extremely high
Inline Method,pmd,src,net,sourceforge,pmd,ast/DiscardableNodeCleaner.java,extremely high
Rename Attribute,pmd,regress,test,net,sourceforge,pmd/rules/UnusedPrivateMethodRuleTest.java,extremely high
Rename Method,pmd,regress,test,net,sourceforge,pmd/ast/DiscardableNodeCleanerTest.java,extremely high
Rename Variable,pmd,src,net,sourceforge,pmd,ast/ASTModifiers.java,extremely high
Extract Method,pmd,src,net,sourceforge,pmd,ast/JavaParser.java,extremely high
Rename Attribute,pmd,regress,test,net,sourceforge,pmd/symboltable/AcceptanceTest.java,extremely high
Rename Attribute,pmd,regress,test,net,sourceforge,pmd/rules/ConstructorCallsOverridableMethodTest.java,extremely high
Extract Interface,pmd-eclipse,src,net,sourceforge,pmd,eclipse/model/DefaultModel.java,high
Extract Method,pmd-eclipse,src,net,sourceforge,pmd,eclipse/cmd/UpdateProjectRuleSetCmd.java,high
Extract Superclass,pmd-eclipse,src,net,sourceforge,pmd,eclipse/cmd/AbstractDefaultCommand.java,high
Extract Superclass,pmd-eclipse,src,net,sourceforge,pmd,eclipse/cmd/DeltaVisitor.java,high
Inline Method,pmd-eclipse,src,net,sourceforge,pmd,eclipse/builder/PMDBuilder.java,high
Move And Rename Class,pmd-eclipse,src,net,sourceforge,pmd,eclipse/PMDDeltaVisitor.java,high
Move And Rename Class,pmd-eclipse,src,net,sourceforge,pmd,eclipse/PMDVisitorRunner.java,high
Move Attribute,pmd-eclipse,src,net,sourceforge,pmd,eclipse/cmd/UpdatePmdEnabledPropertyCmd.java,high
Move Attribute,pmd-eclipse,src,net,sourceforge,pmd,eclipse/cmd/UpdatePmdEnabledPropertyCmd.java,high
Move Attribute,pmd-eclipse,src,net,sourceforge,pmd,eclipse/cmd/UpdatePmdEnabledPropertyCmd.java,high
Move Attribute,pmd-eclipse,src,net,sourceforge,pmd,eclipse/cmd/UpdatePmdEnabledPropertyCmd.java,high
Move Class,pmd-eclipse,src,net,sourceforge,pmd,eclipse/PMDProcessor.java,high
Move Class,pmd-eclipse,src,net,sourceforge,pmd,eclipse/cmd/UpdateProjectPropertiesCmd.java,high
Move Method,pmd-eclipse,src,net,sourceforge,pmd,eclipse/builder/PMDBuilder.java,high
Rename Class,pmd-eclipse,src,net,sourceforge,pmd,eclipse/cmd/DefaultCommand.java,high
Rename Parameter,pmd-eclipse,src,net,sourceforge,pmd,eclipse/properties/PMDPropertyPageController.java,high
Rename Variable,pmd-eclipse,src,net,sourceforge,pmd,eclipse/cmd/UpdateProjectPropertiesCmd.java,high
Extract Method,pmd,src,net,sourceforge,pmd,util/StringUtil.java,extremely high
Inline Variable,pmd,src,net,sourceforge,pmd,util/StringUtil.java,extremely high
Rename Method,pmd,regress,test,net,sourceforge,pmd/util/StringUtilTest.java,extremely high
Rename Class,pmd,regress,test,net,sourceforge,pmd/rules/strictexception/AvoidThrowingCertainExceptionTypesTest.java,extremely high
Move Class,pmd,regress,test,net,sourceforge,pmd/rules/UnnecessaryBooleanAssertionTest.java,extremely high
Extract Method,pmd,src,net,sourceforge,pmd,ast/JavaParser.java,extremely high
Rename Attribute,pmd,regress,test,net,sourceforge,pmd/ast/JDKVersionTest.java,extremely high
Rename Attribute,pmd,regress,test,net,sourceforge,pmd/ast/JDKVersionTest.java,extremely high
Rename Method,pmd,regress,test,net,sourceforge,pmd/ast/JDKVersionTest.java,extremely high
Extract Method,pmd,src,net,sourceforge,pmd,ast/JavaParser.java,extremely high
Extract Method,pmd,src,net,sourceforge,pmd,ast/JavaParser.java,extremely high
Extract Method,pmd,src,net,sourceforge,pmd,ast/JavaParser.java,extremely high
