Refactoring_id,Commit,Type
213,113d634a28f096907390fe79a0449fd449d53c0d,"Rename Method"
214,113d634a28f096907390fe79a0449fd449d53c0d,"Rename Variable"
215,12cb178838c9df76b0545fe7a5e47d160d979f75,"Move Class"
216,12d69fbf4b9eb1f8f6b10c5e2e4390ce6a7324b3,"Change Variable Type"
217,12d69fbf4b9eb1f8f6b10c5e2e4390ce6a7324b3,"Rename Attribute"
218,12d69fbf4b9eb1f8f6b10c5e2e4390ce6a7324b3,"Rename Method"
219,12d69fbf4b9eb1f8f6b10c5e2e4390ce6a7324b3,"Rename Variable"
220,13b09b1fe035ca7e1a23d23a4b4b87edb14a35bf,"Change Return Type"
221,13b09b1fe035ca7e1a23d23a4b4b87edb14a35bf,"Rename Parameter"
222,13e8edb1c8f48eba87cba418af5f217efe0d4a5f,"Rename Method"
223,13e8edb1c8f48eba87cba418af5f217efe0d4a5f,"Rename Parameter"
224,13f3651048242a5bd33610b1bc89d1b1e07fc8d8,"Change Attribute Type"
225,13f3651048242a5bd33610b1bc89d1b1e07fc8d8,"Change Return Type"
226,13f3651048242a5bd33610b1bc89d1b1e07fc8d8,"Change Variable Type"
227,13f3651048242a5bd33610b1bc89d1b1e07fc8d8,"Rename Class"
228,13f3651048242a5bd33610b1bc89d1b1e07fc8d8,"Rename Method"
229,144af1463707814b2e925c658d4224a49a58f1d2,"Change Attribute Type"
230,144af1463707814b2e925c658d4224a49a58f1d2,"Change Variable Type"
231,144af1463707814b2e925c658d4224a49a58f1d2,"Rename Variable"
232,14db1d20a252c07df2c6d6549e01dfe2dd63ccae,"Change Return Type"
233,14ecbbfa6444dc8e0d2f64210af674b57e719b86,"Change Parameter Type"
234,14ecbbfa6444dc8e0d2f64210af674b57e719b86,"Change Variable Type"
235,14ecbbfa6444dc8e0d2f64210af674b57e719b86,"Rename Parameter"
236,14ecbbfa6444dc8e0d2f64210af674b57e719b86,"Rename Variable"
237,151c562a8545242cf93183bf3a07396e9beda70b,"Rename Attribute"
238,151c562a8545242cf93183bf3a07396e9beda70b,"Rename Method"
239,151c562a8545242cf93183bf3a07396e9beda70b,"Rename Parameter"
240,151c562a8545242cf93183bf3a07396e9beda70b,"Rename Variable"
241,156a37877cae6af5feb1fa7895b8307a57b880e4,"Change Variable Type"
242,167bf179299ec3a7e308a78fc33a4f49e4ba5cf6,"Change Attribute Type"
243,167bf179299ec3a7e308a78fc33a4f49e4ba5cf6,"Change Parameter Type"
244,167bf179299ec3a7e308a78fc33a4f49e4ba5cf6,"Change Return Type"
245,167bf179299ec3a7e308a78fc33a4f49e4ba5cf6,"Change Variable Type"
246,169b045a6e4607dab10f0877f7aa550e2c4a0094,"Change Return Type"
247,169b045a6e4607dab10f0877f7aa550e2c4a0094,"Change Variable Type"
248,169b045a6e4607dab10f0877f7aa550e2c4a0094,"Rename Method"
249,169b045a6e4607dab10f0877f7aa550e2c4a0094,"Rename Parameter"
250,169b045a6e4607dab10f0877f7aa550e2c4a0094,"Rename Variable"
251,16fc165fd622b2e09dec709be788e511c3c949ad,"Change Return Type"
252,16fc165fd622b2e09dec709be788e511c3c949ad,"Change Variable Type"
253,16fc165fd622b2e09dec709be788e511c3c949ad,"Move Class"
254,17d6377835010e634d6529872429bd7528d5651e,"Change Parameter Type"
255,17d6377835010e634d6529872429bd7528d5651e,"Rename Parameter"
256,17ea9cebf23354f9a68ea0c6f60185ee9de07cae,"Change Return Type"
257,17ea9cebf23354f9a68ea0c6f60185ee9de07cae,"Rename Method"
258,1843683bd2fa562ca7944a413666fa1fc35323e6,"Change Variable Type"
259,1843683bd2fa562ca7944a413666fa1fc35323e6,"Rename Method"
260,1843683bd2fa562ca7944a413666fa1fc35323e6,"Rename Variable"
261,1858897ad4efcac2e951eb34a5016c2360372a15,"Change Attribute Type"
262,1858897ad4efcac2e951eb34a5016c2360372a15,"Change Parameter Type"
263,1858897ad4efcac2e951eb34a5016c2360372a15,"Change Variable Type"
264,1858897ad4efcac2e951eb34a5016c2360372a15,"Rename Method"
265,18a00c50b004c7d27155d087234185ff8ba5d0b7,"Change Attribute Type"
266,18a00c50b004c7d27155d087234185ff8ba5d0b7,"Rename Attribute"
267,18a00c50b004c7d27155d087234185ff8ba5d0b7,"Rename Parameter"
268,18cbf678c010f9f37f1760aa6adcd85f27d31183,"Change Variable Type"
269,18cbf678c010f9f37f1760aa6adcd85f27d31183,"Rename Parameter"
270,18cbf678c010f9f37f1760aa6adcd85f27d31183,"Rename Variable"
271,19170fc0949a195062328538e64f4066a46657b4,"Change Attribute Type"
272,195704c33d2f992c1dc30df4c0e029d4e9d53301,"Change Attribute Type"
273,195704c33d2f992c1dc30df4c0e029d4e9d53301,"Change Variable Type"
274,195704c33d2f992c1dc30df4c0e029d4e9d53301,"Rename Attribute"
275,195704c33d2f992c1dc30df4c0e029d4e9d53301,"Rename Variable"
276,19abb754a22ed04a912fe975d3ad54efedc1509d,"Change Return Type"
277,19abb754a22ed04a912fe975d3ad54efedc1509d,"Rename Method"
278,19ad398c6e523191116ec84f91b2ef92ff34847f,"Rename Variable"
279,1a3fc99b83e573efeaf5fbe971a5271485b42980,"Change Attribute Type"
280,1a3fc99b83e573efeaf5fbe971a5271485b42980,"Change Parameter Type"
281,1a3fc99b83e573efeaf5fbe971a5271485b42980,"Change Return Type"
282,1a3fc99b83e573efeaf5fbe971a5271485b42980,"Change Variable Type"
283,1a3fc99b83e573efeaf5fbe971a5271485b42980,"Rename Attribute"
284,1a45381702d639fd2650ddb40078e1f74111d4ad,"Rename Attribute"
285,1a45381702d639fd2650ddb40078e1f74111d4ad,"Rename Method"
286,1a45381702d639fd2650ddb40078e1f74111d4ad,"Rename Parameter"
287,1a537b5f33b7ab8386a7db09f046f4c00da80ad8,"Change Return Type"
288,1a537b5f33b7ab8386a7db09f046f4c00da80ad8,"Change Variable Type"
289,1a537b5f33b7ab8386a7db09f046f4c00da80ad8,"Rename Method"
290,1a5a8d24b1b8d9ceff510fd2fa8378274cf5506f,"Rename Attribute"
291,1a5a8d24b1b8d9ceff510fd2fa8378274cf5506f,"Rename Method"
292,1a5a8d24b1b8d9ceff510fd2fa8378274cf5506f,"Rename Parameter"
293,1a973836ffc3173d5ced7d8cee20c109c250d217,"Change Attribute Type"
294,1a973836ffc3173d5ced7d8cee20c109c250d217,"Change Parameter Type"
295,1a973836ffc3173d5ced7d8cee20c109c250d217,"Change Return Type"
296,1a973836ffc3173d5ced7d8cee20c109c250d217,"Rename Attribute"
297,1ae2edb9d8f7e7fabc44fafd35498700f85e818b,"Change Attribute Type"
298,1ae2edb9d8f7e7fabc44fafd35498700f85e818b,"Change Return Type"
299,1ae2edb9d8f7e7fabc44fafd35498700f85e818b,"Rename Parameter"
300,1aec37c6596643e5704d60a1dd28bcc77a4d2167,"Change Attribute Type"
301,1aec37c6596643e5704d60a1dd28bcc77a4d2167,"Change Parameter Type"
302,1aec37c6596643e5704d60a1dd28bcc77a4d2167,"Change Return Type"
303,1aec37c6596643e5704d60a1dd28bcc77a4d2167,"Change Variable Type"
304,1aec37c6596643e5704d60a1dd28bcc77a4d2167,"Move Class"
305,1aec37c6596643e5704d60a1dd28bcc77a4d2167,"Rename Class"
306,1aec37c6596643e5704d60a1dd28bcc77a4d2167,"Rename Method"
307,1aec37c6596643e5704d60a1dd28bcc77a4d2167,"Rename Parameter"
308,1b1e25c2721c8603d2455e8a97a1b135515117a1,"Rename Parameter"
309,1b93ffb2bfb6c9010ea05135bd7b76c441495250,"Change Parameter Type"
310,1b93ffb2bfb6c9010ea05135bd7b76c441495250,"Change Variable Type"
311,1b93ffb2bfb6c9010ea05135bd7b76c441495250,"Rename Parameter"
312,1b93ffb2bfb6c9010ea05135bd7b76c441495250,"Rename Variable"
313,1c12c806842dada6f4182f79dc11ca63688c4207,"Change Attribute Type"
