RefactoringType,L1,L2,L3,L4,L5,L6,AuthorGroup
Move Class,engine,src,main,java,org,hibernate/validator/internal/constraintvalidators/DecimalMinValidatorForNumber.java,medium
Rename Parameter,hibernate-validator,src,main,java,org,hibernate/validation/engine/ConstraintViolationImpl.java,high
Extract Method,engine,src,main,java,org,hibernate/validator/internal/metadata/provider/AnnotationMetaDataProvider.java,low
Move Method,engine,src,main,java,org,hibernate/validator/internal/metadata/raw/ConstrainedExecutable.java,extremely high
Rename Method,engine,src,test,java,org,hibernate/validator/test/internal/engine/methodvalidation/MethodLevelValidationTest.java,extremely high
Change Package,org.hibernate.validator.cfg.scriptengine,,,,,,high
Rename Class,hibernate-validator,src,main,java,org,hibernate/validator/constraints/impl/FutureValidatorForAbstractInstant.java,low
Extract Superclass,engine,src,main,java,org,hibernate/validator/internal/constraintvalidators/bv/PositiveValidatorForNumber.java,high
Rename Class,engine,src,main,java,org,hibernate/validator/test/internal/util/ModUtilTest.java,medium
Extract Variable,engine,src,main,java,org,hibernate/validator/internal/metadata/provider/AnnotationMetaDataProvider.java,low
Rename Variable,engine,src,test,java,org,hibernate/validator/test/internal/xml/MappingXmlParserTest.java,extremely high
Rename Attribute,engine,src,main,java,org,hibernate/validator/internal/metadata/aggregated/FieldCascadable.java,high
Move Class,performance,src,main,java,org,hibernate/validator/performance/cascaded/CascadedValidationTest.java,high
Change Package,org.hibernate.validator.test.constraints.impl,,,,,,extremely high
Move Attribute,engine,src,main,java,org,hibernate/validator/internal/engine/messageinterpolation/InterpolationTerm.java,medium
Rename Class,hibernate-validator,impl,src,java,java,org/hibernate/tck/report/CoverageProcessor.java,low
Pull Up Method,engine,src,test,java,org,hibernate/validator/test/constraints/pl/PESELValidatorTest.java,high
Extract Variable,hibernate-validator,src,main,java,org,hibernate/validation/engine/ValidatorImpl.java,high
Move Attribute,engine,src,main,java,org,hibernate/validator/internal/engine/messageinterpolation/InterpolationTerm.java,medium
Rename Class,hibernate-validator,src,main,java,org,hibernate/validator/constraints/impl/FutureValidatorForAbstractInstant.java,low
Extract Method,annotation-processor,src,main,java,org,hibernate/validator/ap/classchecks/AbstractMethodOverrideCheck.java,high
Move Method,engine,src,main,java,org,hibernate/validator/internal/metadata/raw/ExecutableElement.java,extremely high
Move Attribute,engine,src,main,java,org,hibernate/validator/internal/engine/messageinterpolation/InterpolationTerm.java,medium
Pull Up Method,engine,src,main,java,org,hibernate/validator/internal/metadata/provider/TypeAnnotationAwareMetaDataProvider.java,extremely high
Rename Class,hibernate-validator,src,main,java,org,hibernate/validator/constraints/impl/FutureValidatorForAbstractInstant.java,low
Rename Attribute,engine,src,main,java,org,hibernate/validator/internal/xml/ValidationXmlConfigurationSource.java,extremely high
Move Class,engine,src,main,java,org,hibernate/validator/internal/xml/ClassLoadingHelper.java,high
Parameterize Variable,engine,src,main,java,org,hibernate/validator/internal/engine/groups/ValidationOrderGenerator.java,extremely high
Move Class,documentation,src,test,java,org,hibernate/validator/referenceguide/chapter10/cdi/validator/RentalStation.java,extremely high
Rename Attribute,engine,src,main,java,org,hibernate/validator/internal/engine/ConfigurationImpl.java,medium
Rename Class,hibernate-validator,src,test,java,org,hibernate/validator/test/constraints/impl/FutureValidatorForAbstractInstantTest.java,low
Rename Class,hibernate-validator,src,main,java,org,hibernate/validator/constraints/impl/FutureValidatorForAbstractInstant.java,low
Rename Variable,annotation-processor,src,main,java,org,hibernate/validator/ap/classchecks/AbstractMethodOverrideCheck.java,high
Rename Variable,engine,src,main,java,org,hibernate/validator/internal/metadata/aggregated/BeanMetaDataImpl.java,extremely high
Move Attribute,hibernate-validator,src,main,java,org,hibernate/validator/engine/ValidatorContextImpl.java,low
Rename Parameter,hibernate-validator,src,main,java,org,hibernate/validation/engine/ConstraintViolationImpl.java,high
Move Attribute,engine,src,main,java,org,hibernate/validator/internal/engine/messageinterpolation/InterpolationTerm.java,medium
Move Class,engine,src,main,java,org,hibernate/validator/internal/constraintvalidators/DecimalMinValidatorForNumber.java,medium
Extract Method,engine,src,main,java,org,hibernate/validator/internal/engine/ValidatorImpl.java,extremely high
Move Class,documentation,src,test,java,org,hibernate/validator/referenceguide/chapter04/constraintvalidatorcontext/CheckCaseValidator.java,extremely high
Extract Variable,engine,src,main,java,org,hibernate/validator/internal/metadata/provider/AnnotationMetaDataProvider.java,low
Rename Attribute,hibernate-validator,src,main,java,org,hibernate/validation/impl/ValidatorFactoryBuilderImpl.java,high
Rename Class,hibernate-validator,src,test,java,org,hibernate/validator/test/constraints/impl/FutureValidatorForAbstractInstantTest.java,low
Move Method,hibernate-validator,src,test,java,org,hibernate/validation/engine/ConstraintCompositionTest.java,extremely high
Rename Variable,hibernate-validator,src,main,java,org,hibernate/validator/cfg/MethodCascadeDef.java,high
Pull Up Method,engine,src,test,java,org,hibernate/validator/test/constraints/pl/PESELValidatorTest.java,high
Move Class,engine,src,test,java,org,hibernate/validator/test/internal/constraintvalidators/FutureValidatorForCalendarTest.java,medium
