SATD_id,Commit_id,Project_id,Satd_type,v1_comment,v2_comment
13516,54350cd09e696d234b30b8cd1c5561438b68073f,3,SATD_REMOVED,TODO remove when maven-plugin-tools-api:2.4.4 is out see PluginUtils.sortMojoParameters(),None
13517,54350cd09e696d234b30b8cd1c5561438b68073f,3,SATD_REMOVED,"This feels more like a hack to filter out inactive profiles, there is no'direct'
way to query activation status on a Profile instance.",active Profiles will be a subset of *all* profiles
13524,d62fcac59b6961729e5a6a0f3efd88d3501ead8d,3,FILE_PATH_CHANGED,TODO: would be good to scan the files here,TODO: would be good to scan the files here
13525,d62fcac59b6961729e5a6a0f3efd88d3501ead8d,3,SATD_REMOVED,Maven 2.x workaround,None
13526,d62fcac59b6961729e5a6a0f3efd88d3501ead8d,3,FILE_PATH_CHANGED,"@todo if we can filter on hints, it should be done here...","@todo if we can filter on hints, it should be done here..."
13527,d62fcac59b6961729e5a6a0f3efd88d3501ead8d,3,FILE_PATH_CHANGED,TODO: failure if not a report,TODO: failure if not a report
13528,d62fcac59b6961729e5a6a0f3efd88d3501ead8d,3,SATD_REMOVED,Maven 2.x workaround,None
13529,d62fcac59b6961729e5a6a0f3efd88d3501ead8d,3,FILE_PATH_CHANGED,"@todo if we can filter on hints, it should be done here...","@todo if we can filter on hints, it should be done here..."
13530,d62fcac59b6961729e5a6a0f3efd88d3501ead8d,3,SATD_REMOVED,"checkstyle will always use the context classloader in order
to load resources (dtds),
so we have to fix it
olamy this hack is not anymore needed in maven 3.x",None
13531,d62fcac59b6961729e5a6a0f3efd88d3501ead8d,3,FILE_PATH_CHANGED,"TODO: should be a failure, not an error. Report is not meant to
throw an exception here (so site would
work regardless of config), but should record this information","TODO: should be a failure, not an error. Report is not meant to
throw an exception here (so site would
work regardless of config), but should record this information"
13532,d62fcac59b6961729e5a6a0f3efd88d3501ead8d,3,FILE_PATH_CHANGED,MCHECKSTYLE-332 Checkstyle 6.16+ (#569): the cache is moved to the Checker module instead of TreeWalker,MCHECKSTYLE-332 Checkstyle 6.16+ (#569): the cache is moved to the Checker module instead of TreeWalker
13534,d62fcac59b6961729e5a6a0f3efd88d3501ead8d,3,FILE_PATH_CHANGED,"MCHECKSTYLE-131 ( olamy ) I dont like this hack.
(dkulp) Me either.   It really pollutes the location stuff
by allowing searches of stuff outside the current module.","MCHECKSTYLE-131 ( olamy ) I dont like this hack.
(dkulp) Me either.   It really pollutes the location stuff
by allowing searches of stuff outside the current module."
